순번,문항,지문,보기,답,,,,,,,,,,,,,,,,,,
1,윗글의 내용과 같은 것을 고르십시오. ,"남녀노소 모두 무료로 즐길 수 있는 특별한 축제가 열립니다. 가을 하늘을 불꽃으로 가득 채울 이번 축제에서는 불꽃놀이뿐만 아니라 다양한 축제 부스, 그리고 화려한 라이브 음악 공연이 준비되어 있습니다. ","1) 축제는 겨울에 열린다.
2) 축제에서는 불꽃놀이만 볼 수 있다.
3) 축제에서는 영화 상영이 준비되어 있다.
4) 축제는 원하는 사람이면 누구나 갈 수 있다.",4,,,,,,,,,,,,,,,,,,
2,다음 신문 기사 제목을 잘 설명한 것을 고르십시오.," 폭염에 오이, 애호박 수확량 반토막, 농민들 울상","① 더운 날씨에 농작물이 잘 자란다.
② 농민들이 흉작이라 어려움이 많다.
③ 수확량이 증가하여서 가격이 떨어졌다.
④ 추운 날씨로 인해 농민들이 힘들어한다.",2,,,,,,,,,,,,,,,,,,
3,다음을 순서대로 나열한 것을 고르십시오. ,"(가) 회의에 앞서 문제 사항을 정리하고, 발표를 하기 위해 자료를 정리합니다. 
(나) 회의 중에는 문제를 제시하고, 그에 대한 서로의 의견을 나눕니다.
(다) 그때 나온 해결 방안을 정리하고 회의를 마칩니다. 
(라) 회사에서 문제가 생겼을 때 구성원들의 의견을 듣고, 해결 방안을 찾기 위해서 회의가 필요합니다","1) 가-나-다-라 
2) 가-다-라-가  
3) 라-가-나-다 
4) 라-나-다-가",3,,,,,,,,,,,,,,,,,,
4,(      )안에 들어갈 말로 알맞은 것을 고르십시오.,"반려동물을 기르는 것은 사람들에게 (         ) 영향을 준다. 우울증 환자에게 반려동물 입양을 권한 후에 우울증이 나아진다는 연구 결과가 있다. 반대로 반려동물 때문에 우울증을 얻는 경우도 있는데, 반려동물이 죽은 후에 겪는 상실감이 그 예이다.  ","1) 사회적인 
2) 문화적인 
3) 심리적인 
4) 경제적인",3,,,,,,,,,,,,,,,,,,
5,윗글의 내용과 같은 것을 고르십시오. ,지난주에 자격증 시험을 보러 낯선 장소에 가야 했는데 전날 밤에 공부하느라고 늦게 자서 아침에 알람 소리를 못 들었다. 게다가 길에서 사고가 나는 바람에 길이 막혔다. 드디어 시험을 보는 건물에 도착을 했는데 이번에는 건물 안이 복잡해서 시험장을 찾을 수가 없었다. 시간은 자꾸 가는데 어디로 가야 할지 몰라 a. 마음을 졸였다 . 그때 건물에서 청소하시는 아주머니를 발견해서 아주머니께 시험장이 어디에 있냐고 여쭤봤더니 친절하게 그곳까지 데려다 주셨다. 다행히 아주머니 덕분에 시험 시작 전에 도착할 수 있어서 마음을 놓았다. ,"1) 시험장은 글쓴이에게 익숙한 곳이다.
2) 시험 날 아침에 교통 상황이 안 좋았다.
3) 글쓴이는 시험장을 천천히 둘러보았다.  
4) 글쓴이는 시험장에 도착해서도 불안했다.  ",2,,,,,,,,,,,,,,,,,,
6,다음 표를 활용할 수 있는 적절한 글을 고르시오.,,"① 세대별 선호하는 매체 설명하는 글
  ② 매체에 따른 세대별 관심사 비교하는 글
  ③ 세대별 매체 선호도에 대해 분석하는 글
  ④ 청소년층의 미디어 사용 증가에 대한 비판하는 글",1,,,,,,,,,,,,,,,,,,
7,] (     )에 들어갈 말로 가장 알맞은 것을 고르십시오.,"최근에는 위성 지도와 GPS 기술이 빠르게 발전하고 있다. 이 기술들은 정밀한 위치 추적과 내비게이션을 가능하게 만든다. 도로 건설, 교통 흐름 변화 같은 실시간 정보가 중요해지고 있다. (      )에 관한 정보의 정확성은 이제 필수적인 요소가 되었다. 사람들은 이를 활용하여 교통 체증을 피하고, 최적의 경로를 찾는다. 이 기술 덕분에 여행 계획은 물론 일상의 이동도 더욱 편리해졌다.","1) 날씨 예보와 기후 변화
2) 주변 상점과 서비스 시설
3) 도로와 교통 상황
4) 지역 축제와 이벤트",3,,,,,,,,,,,,,,,,,,
8,다음 글을 읽고 글쓴이가 느낀 감정으로 알맞은 것을 고르시오.,"우리가 이렇게 다시 연락을 하게 되다니 꿈만 같고, 믿기지가 않습니다. 너무 감사하고 보고 싶습니다. 몸 건강히 잘지내시죠? 부디 건강 챙기시기 바랍니다.",1. 행복 2. 슬픔 3.  지루함 4. 당황,1,,,,,,,,,,,,,,,,,,
9,다음을 알맞은 순서로 나열한 것을 고르십시오.,"
가. 지구의 자전이 있기 때문에 태양을 향하는 지역은 낮이 되고 향하지 않는 지역은 밤이 된다. 
나. 지구는 자전축을 중심으로 하루에 한번 서에서 동쪽으로 회전한다.
다. 이런 회전을 우리는 지구의 자전이라고 부른다.","1. 가-나-다
2. 나-가-다
3. 나-다-가
4. 다-가-나",3,,,,,,,,,,,,,,,,,,
10,다음 글에 대한 설명으로 적절한 것을 고르십시오.,"물결이 부드럽게 바닷가에 닿는 소리가 들리는 고요한 해변. 햇살이 부드럽게 비춰 오르는 파도와 함께 바닷가 모래는 금빛으로 빛난다. 멀리선은 작은 배들이 서로를 향해 춤추듯 조용히 흔들리고 있다. 바다의 푸른 물은 구름의 그림자로 흔들리며, 하늘은 푸른 색상과 흰 구름으로 가득 차 있어 마치 하늘과 바다가 서로 어우러진 듯한 아름다운 풍경이 펼쳐져 있다.","
  ① 바닷가의 모습을 묘사하고 있다.
  ② 바다의 환경에 대해 분류하고 있다.
  ③ 바다의 환경 보호에 대해 분석하고 있다.
  ④ 바다의 아름다운 모습과 배의 모습을 비교하고 있다.",1,,,,,,,,,,,,,,,,,,
1,윗글의 내용과 같은 것을 고르십시오. ,"학생증 디자인이 변경되어, 이번 년도 신입생부터 새로운 디자인의 학생증을 발급 받을 수 있습니다. 또한 기존의 학생증을 분실한 학생도 인터넷 신청을 통해 새로운 학생증으로 재발급 받을 수 있습니다. 하지만 신청자가 많아서 발급에는 2-3주 정도 걸릴 것으로 예상됩니다. 학생증은 홈페이지에서 신청한 후에 각 학과 사무실에서 받으시기 바랍니다.  ","학생증 디자인이 변경되어, 이번 년도 신입생부터 새로운 디자인의 학생증을 발급 받을 수 있습니다. 또한 기존의 학생증을 분실한 학생도 인터넷 신청을 통해 새로운 학생증으로 재발급 받을 수 있습니다. 하지만 신청자가 많아서 발급에는 2-3주 정도 걸릴 것으로 예상됩니다. 학생증은 홈페이지에서 신청한 후에 각 학과 사무실에서 받으시기 바랍니다.  ",3,,,,,,,,,,,,,,,,,,
2,다음 신문 기사의 제목으로 적당한 것을 고르십시오. ,서울의 한 아파트에서 발생한 화재로 인해 주민 50명이 대피했다. 화재는 이날 오전 10시쯤 아파트 3층에서 발생했는데 주민들은 화재 발생 직후 신속하게 대피해서 인명피해는 없었다. 이 화재로 인해 700여만원의 재산피해가 발생했다. 경찰은 주방기기에서 화재가 난 것으로  보고 정확한 화재 원인은 현재 조사 중이다.,"1)	서울 아파트 화재로 주민 대피
2)	서울 아파트 화재 인명피해 발생
3)	서울 아파트 화재, 재산피해는 없음
4)	서울 아파트 화재, 주방에서 화재 시작",1,,,,,,,,,,,,,,,,,,
3,(가) ~ (라)를 알맞은 순서로 배열한 것을 고르십시오.,"（가）또한, 책을 읽는 것은 마음의 안정을 찾는 데 도움이 된다.
（나）책을 읽으면 다양한 지식을 얻을 수 있기 때문이다.
（다）많은 사람들이 여가 시간에 책을 읽는다.
（라）조용히 앉아 책을 읽으면서 불필요한 생각에서 벗어날 수 있다.","
1)  (나）-（라）-（다）-（가）
2)（나）-（가）-（다）-（라）
3)（다）-（나）-（가）-（라）
4)（라）-（가）-（나）-（다）",3,,,,,,,,,,,,,,,,,,
4,(      )에 들어갈 표현으로 가장 알맞은 것을 고르십시오.,"존댓말은 더 높은 사회적 지위나 나이, 경험을 가진 상대를 (       ) 태도로 대할 때 씁니다. 한국 사회에서는 나이나 지위에 따라 존댓말을 사용함으로써 상대를 존중하고 예의를 지키는 문화가 깊게 자리 잡고 있습니다. 이러한 특성 때문에 한국의 존댓말 문화는 사회적 관계에서 중요한 역할을 합니다.","1) 친근한
2) 응원하는
3) 존중하는
4) 무시하는",3,,,,,,,,,,,,,,,,,,
5,다음은 무엇에 대한 글인지 고르십시오. ,"말하지 않아도 서로 양보해요.
보는 사람 없어도 스스로 지켜요.","① 건강 관리                    
② 교통 안전                     
③ 전기 절약                    
 ④ 화재 예방",4,,,,,,,,,,,,,,,,,,
6,윗글의 주제로 적당한 것을 고르십시오.,스마트폰의 사용으로 사람들의 집중력이 약해지고 있다. 사람들은 일이나 공부를 하고 있을 때에도 스마트폰을 종종 확인하게 되고 이로 인해 집중력이 감소된다. 미국의 한 대학에서 실험을 했는데 일부 학생들에게는 스마트폰을 꺼두게 하고 일부 학생들은 시험 시간에 문자 메시지를 받게 했다. 결과는 문자 메시지를 받은 학생들의 성적이 20% 낮게 나왔다. 사람들이 스마트폰 사용으로 인해 20%의 능력을 잃고 있다는 이야기이다. ,"1) 스마트폰 사용의 장단점 
2) 집중력 감소의 해결 방안 
3) 스마트폰 사용과 집중력 감소 
4) 문자 메시지와 성적의 상관 관계",3,,,,,,,,,,,,,,,,,,
7,아래의 글을 요약한 것으로 알맞은 것을 고르십시오. ,"알고리듬은 사용자의 관심과 비슷한 콘텐츠를 선택해주는 기술로, '필터 버블(Filter Bubble)'이라고 부른다. 이 기술은 필터 거름망에 거른 것처럼 사람들이 사건의 한쪽 면만 보고 잘못된 생각을 하게 만들 수 있다. 유튜브에는 내가 봤던 영상과 관련된 영상을 보여주는 '맞춤 동영상' 기능이 있는데 잘못된 뉴스에도 필터 버블이 적용된다. 그 결과 계속 잘못된 정보에 대한 영상을 보게 되어서 거짓을 진실로 믿게 된다. 필터 버블 때문에 가짜 뉴스에 속는 상황을 피하기 위해서 항상 사실을 확인하는 습관을 가져야 한다.","1) 필터 버블은 영상 추천에 영향을 주지 않는다. 
2) 필터 버블은 사람들에게 편리한 생활을 제공한다.
3) 유튜브는 필터버블이라는 기술로 가짜 정보를 걸려 준다.
4) 필터 버블로 인한 잘못된 정보에 속지 않으려면 사실을 확인해야 한다. ",4,,,,,,,,,,,,,,,,,,
8,다음을 알맞은 순서로 나열한 것을 고르십시오.,"
A)지구의 자전이 있기 때문에 태양을 향하는 지역은 낮이 되고 향하지 않는 지역은 밤이 된다.
B) 지구는 자전축을 중심으로 하루에 한번 서에서 동쪽으로 회전한다.
C) 이런 회전을 우리는 지구의 자전이라고 부른다.","1. A-B-C
2. B-A-C
3. B-C-A
4. C-A-B",3,,,,,,,,,,,,,,,,,,
9,다음 글을 읽고 독자가 보일 반응으로 적절한 것을 고르시오.,"우리는 차별이 만연한 사회에서 살고 있다. 사람들은 다양한 곳에서 나이, 성별, 지역에 따라 서로를 구분짓는다. 사회적인 장소는 물론 심지어 가정에서까지도 차별이 이루어진다. 차별은 사회 전체에 피해를 주는 행동이므로 금지해야 한다. 예를 들어 현재 노동법은 회사에서의 채용 차별을 금지하고 있다. 그러나 실제로는 아직도 많은 곳에서 나이,성별,지역출신에 따라 차별을 하고 있다. ","1. 수아 : 가정에서는 차별을 금지 하지 않아.
2. 지민 : 노동법이 있어서 사회가 안전해졌어.
3. 지수 :  차별을 방지할 방법을 찾아봐야 겠어.
4. 지원 : 지역 차별이 진정한 차별이라고 할 수 있어.
",3,,,,,,,,,,,,,,,,,,
10,"다음 지문과 보기를 읽고 지문의 내용과 보기의 내용이 일치하면 참,
지문의 내용과 보기의 내용이 일치하지 않으면 거짓,
지문에서 보기의 내용이 제시되지 않았으면 모름을 택하시오.","대한민국 국민들의 해외여행에 대한 인식은 지난 수십 년간 크게 보편화되었다. 과거의 해외여행은 부자들만 누릴 수 있는 부의 상징이었다. 특히, 비자 발급이 까다로웠기 때문에 더욱 가기가 어려웠다. 점차 여행 비용이 저렴해지고 국민들의 소득이 증가하면서 해외여행의 문턱이 낮아졌다. 경험을 중요시하는 사람들의 인식도 해외여행의 수요를 증가시켰다.
현재는 다양한 여행 상품과 항공 노선의 확대로 인해 더 많은 사람들이 해외여행을 즐기고 있다. 또한, 인터넷과 소셜 미디어의 발달로 해외여행 정보를 쉽게 접하게 되었고 이는 여행 계획을 세우는 데 큰 도움을 주고 있다. 앞으로도 이러한 추세는 계속될 것으로 보이며, 해외여행은 국민들의 일상적인 활동 중 하나로 자리 잡을 것이다.
 ","1. 시간의 흐름에 따라 해외여행 인식은 변화했다.
2. 과거에도 공공기관 근무자들은 여행을 갈 수 있었다.
3. 현재는 인터넷을 통해 해외여행 정보를 쉽게 접할 수 있다.
4. 소셜미디어의 등장으로 국민들은 해외여행을 당연시하게 되었다.","1-참
2-모름
3-참
4-거짓",,,,,,,,,,,,,,,,,,
문항번호,급수,가교 문제,,,,,,,,,,,,,,,,,,,,
1,1,"[문제]
다음 글을 읽고 비슷한 내용을 고르십시오.

[지문]
저는 매주 토요일마다 등산을 합니다. 산을 오르며 자연의 아름다움을 느끼고 신선한 공기를 마시는 것이 즐겁습니다.

[선지]
① 저는 평일에 등산을 갑니다.
② 저는 산에 가는 것을 즐거워합니다.
③ 저는 토요일 등산을 힘들어합니다.
④ 저는 산보다 바다가 좋습니다.

[정답] 2번",,,,,,,,,,,,,,,,,,,,
2,3,"[문제]
(    )에 들어갈 말로 가장 알맞은 것을 고르시오.

[지문]
전문적인 요리사는 다양한 재료를 사용하여 다른 도움이 없어도 직접 음식을 만든다. 그런 음식 중에는 (     ) 다른 사람들이 만들 수 없는 새로운 음식들도 있다. 이처럼 요리사라는 직업에서는 요리법을 정확히 따를 수 있는 능력과 함께 창의성도 필요하다.

[선지]
1) 동료 요리사와 협력하며
2) 정해진 도구를 사용하여
3) 자신만의 특별한 기술을 가지고
4) 요리 책의 내용을 그대로 따라 하여

[정답] 3번",,,,,,,,,,,,,,,,,,,,
3,중,"10. (      )에 들어갈 표현으로 가장 알맞은 것을 고르십시오.

존댓말은 더 높은 사회적 지위나 나이, 경험을 가진 상대를 (       ) 태도로 대할 때 씁니다. 한국 사회에서는 나이나 지위에 따라 존댓말을 사용함으로써 상대를 존중하고 예의를 지키는 문화가 깊게 자리 잡고 있습니다. 이러한 특성 때문에 한국의 존댓말 문화는 사회적 관계에서 중요한 역할을 합니다.

1) 친근한
2) 응원하는
3) 존중하는
4) 무시하는",,,,,,,,,,,,,,,,,,,,
4,4,"[문제] 다음 글의 내용과 같은 것을 고르십시오.

[지문]
인터넷의 발달로 정보 검색이 훨씬 쉬워졌다. 사람들은 웹사이트나 애플리케이션을 통해 필요한 정보를 빠르게 찾을 수 있다. 온라인 쇼핑, 뉴스 읽기, 동영상 시청 등 다양한 활동이 인터넷을 통해 가능하다. 인터넷은 일상생활에서 중요한 역할을 한다.

[선지]
1) 인터넷 사용은 앞으로 더 중요해질 것이다.
2) 인터넷은 애플리케이션보다 웹사이트가 빠르다.
3) 대부분의 사람들은 인터넷을 사용하지 않는다.
4) 인터넷은 다양한 온라인 활동을 가능하게 한다.

[정답] 4번",,,,,,,,,,,,,,,,,,,,
5,5,"[문제]
다음 글의 주제로 가장 알맞은 것을 고르십시오.

[지문]
인공지능(AI) 기술은 현대 사회에서 다양한 분야에 혁신을 가져오고 있다. 예를 들어, 의료 분야에서 AI는 질병 진단의 정확도를 높이는 데 기여하고 있다. 또한, AI 기반의 자율주행 자동차는 교통 시스템을 변화시킬 잠재력을 가지고 있다. AI 기술의 발전은 생활을 더욱 편리하고 안전하게 만들고, 새로운 직업 기회를 창출하고 있다. 그러나 AI의 윤리적 이슈와 일자리에 미치는 영향도 중요한 고려 사항이다.

[선지]
1) AI는 의료 분야에서 유용하다.
2) AI 기술은 사회에 유익한 변화와 새로운 고민거리를 가져왔다.
3) AI 기술은 사회에 긍정적인 영향과 변화만을 가져온다.
4) 자율주행 자동차는 AI 기술을 발전시키고 일상생활을 편리하게 만든다.

[정답] 2번",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
